Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
"722302183","549908102","CORR","","2022-12-21T07:49:40Z","","FX","ForeignExchange:VanillaOption","N","false","2022-12-21T07:49:40Z","2022-12-21","2023-01-10","","false","BBSF","false","true","","20,000,000","140,000,000","USD","CNY","","","","","","","","","","","","","","","","","20000000","","USD","","140000000","","CNY","","7","CNY/USD","2023-01-10","","","72,380","USD","","","","","","","7","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","CALL","EUROPEAN","false","","","","","","","",""
"722302184","549910538","CORR","","2023-01-20T12:44:28Z","","FX","ForeignExchange:VanillaOption","N","false","2023-01-20T12:44:28Z","2023-01-20","2023-02-24","","false","BBSF","true","true","","10,073,000","69,000,000","USD","CNY","","","","","","","","","","","","","","","","","10073000","","USD","","69000050","","CNY","","6.85","CNY/USD","2023-02-24","","","44,724.12","USD","","","","","","","6.85","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","CALL","EUROPEAN","false","","","","","","","",""
"722302185","549908572","CORR","","2022-12-22T18:31:55Z","","FX","ForeignExchange:VanillaOption","N","false","2022-12-22T18:31:55Z","2022-12-22","2023-01-06","","false","BBSF","false","true","","50,704,000","360,000,000","USD","CNY","","","","","","","","","","","","","","","","","50704000","","USD","","359998400","","CNY","","7.1","CNY/USD","2023-01-06","","","82,647.52","USD","","","","","","","7.1","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","CALL","EUROPEAN","false","","","","","","","",""
"722302186","549908986","CORR","","2022-12-28T20:43:22Z","","FX","ForeignExchange:VanillaOption","N","false","2022-12-28T20:43:22Z","2022-12-28","2023-01-04","","false","BBSF","true","true","","10,042,400","71,000,000","USD","CNY","","","","","","","","","","","","","","","","","10042400","","USD","","70999768","","CNY","","7.07","CNY/USD","2023-01-04","","","13,255.968","USD","","","","","","","7.07","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","CALL","EUROPEAN","false","","","","","","","",""
"722302187","549909286","CORR","","2023-01-05T03:41:31Z","","FX","ForeignExchange:VanillaOption","N","false","2023-01-05T03:41:31Z","2023-01-05","2023-01-18","","false","BBSF","false","true","","50,000,000","350,000,000","USD","CNY","","","","","","","","","","","","","","","","","50000000","","USD","","350000000","","CNY","","7","CNY/USD","2023-01-18","","","58,050","USD","","","","","","","7","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","CALL","EUROPEAN","true","9.9999999999","","3","","","","",""
"722302188","549909290","CORR","","2023-01-05T03:41:31Z","","FX","ForeignExchange:VanillaOption","N","false","2023-01-05T03:41:31Z","2023-01-05","2023-03-02","","false","BBSF","false","true","","25,714,250","180,000,000","USD","CNY","","","","","","","","","","","","","","","","","25714250","","USD","","179999750","","CNY","","7","CNY/USD","2023-03-02","","","114,376.984","USD","","","","","","","7","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","CALL","EUROPEAN","true","9.9999999999","","3","","","","",""
"722302189","642212002","CORR","","2023-01-31T17:39:47Z","","FX","ForeignExchange:VanillaOption","N","false","2023-01-31T17:39:47Z","2023-01-31","2023-02-28","","false","BBSF","false","false","","4,000,000","26,989,667","USD","CNY","","","","","","","","","","","","","","","","","4000000","","USD","","24000000","","CNY","","6.7474","CNY/USD","2023-02-28","","","29,000.0725","USD","","","","","","","6.7474","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","CALL","EUROPEAN","true","9.9999999999","","3","","","","",""
"722302190","642212000","CORR","","2023-01-31T17:39:47Z","","FX","ForeignExchange:VanillaOption","N","false","2023-01-31T17:39:47Z","2023-01-31","2023-02-28","","false","BBSF","false","false","","4,000,000","26,989,667","USD","CNY","","","","","","","","","","","","","","","","","24000000","","CNY","","4000000","","USD","","6.7474","USD/CNY","2023-02-28","","","29,100.07275","USD","","","","","","","6.7474","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","PUT","EUROPEAN","true","9.9999999999","","3","","","","",""
"722302191","642212001","CORR","","2023-01-31T17:38:51Z","","FX","ForeignExchange:VanillaOption","N","false","2023-01-31T17:38:51Z","2023-01-31","2023-02-07","","false","BBSF","false","false","","2,072,200","14,000,000","USD","CNY","","","","","","","","","","","","","","","","","13999990","","CNY","","2072200","","USD","","6.7561","USD/CNY","2023-02-07","","","8,185.19","USD","","","","","","","6.7561","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","PUT","EUROPEAN","true","9.9999999999","","3","","","","",""
"722302192","642212003","CORR","","2023-01-31T17:38:51Z","","FX","ForeignExchange:VanillaOption","N","false","2023-01-31T17:38:51Z","2023-01-31","2023-02-07","","false","BBSF","false","false","","2,072,200","14,000,000","USD","CNY","","","","","","","","","","","","","","","","","2072200","","USD","","13999990","","CNY","","6.7561","CNY/USD","2023-02-07","","","8,185.19","USD","","","","","","","6.7561","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","CALL","EUROPEAN","true","9.9999999999","","3","","","","",""
